index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,41.0,251.5603285754152,79.00261827487293
0,polygon,1,41.0,268.8948933824382,107.36826977727429
0,polygon,2,41.0,270.47076291034944,195.61696334030069
0,polygon,3,41.0,228.71022042070302,249.196527289281
0,polygon,4,41.0,203.49630797412402,240.5292448857695
0,polygon,5,41.0,193.25315604270133,186.16174617283357
0,polygon,6,41.0,216.10326419741352,94.76131355398479
0,polygon,7,41.0,225.55848136488066,76.63881398300616
